city_name,city_time,weather_condition,temperature
Accra,Wed 11:10 am,Passing clouds. Warm.,84 °F
Addis Ababa,Wed 2:10 pm,Scattered clouds. Pleasantly warm.,79 °F
Adelaide,Wed 8:40 pm,Quite cool.,52 °F
Algiers,Wed 12:10 pm,Overcast. Mild.,75 °F
Almaty,Wed 4:10 pm,Scattered clouds. Pleasantly warm.,88 °F
Amman,Wed 2:10 pm,Clear. Pleasantly warm.,84 °F
Amsterdam,Wed 1:10 pm,Passing clouds. Mild.,63 °F
Anadyr,Wed 11:10 pm,Fog. Chilly.,35 °F
Anchorage,Wed 3:10 am,Passing clouds. Cool.,54 °F
Ankara,Wed 2:10 pm,Broken clouds. Mild.,68 °F
Antananarivo,Wed 2:10 pm,Passing clouds. Pleasantly warm.,77 °F
Asuncion,Wed 8:10 am,Rain. Low clouds. Mild.,63 °F
Athens,Wed 2:10 pm,Sunny. Pleasantly warm.,83 °F
Atlanta,Wed 7:10 am,Fog. Mild.,70 °F
Auckland,Wed 11:10 pm,Clear. Cool.,46 °F
Baghdad,Wed 2:10 pm,Sunny. Extremely hot.,111 °F
Bangkok,Wed 6:10 pm,Light rain. Scattered clouds. Warm.,82 °F
Barcelona,Wed 1:10 pm,Broken clouds. Mild.,70 °F
Beijing,Wed 7:10 pm,Warm.,77 °F
Belgrade,Wed 1:10 pm,Sunny. Warm.,82 °F
Bengaluru,Wed 4:40 pm,Scattered clouds. Warm.,84 °F
Berlin,Wed 1:10 pm,Rain showers. Broken clouds. Cool.,57 °F
Bogota,Wed 6:10 am,Fog. Cool.,50 °F
Boston,Wed 7:10 am,Partly sunny. Mild.,63 °F
Brasilia,Wed 8:10 am,Sunny. Mild.,63 °F
Brisbane,Wed 9:10 pm,Cool.,62 °F
Brussels,Wed 1:10 pm,Passing clouds. Refreshingly cool.,61 °F
Bucharest,Wed 2:10 pm,Partly sunny. Warm.,82 °F
Budapest,Wed 1:10 pm,Passing clouds. Warm.,79 °F
Buenos Aires,Wed 8:10 am,Partly cloudy. Cool.,55 °F
Cairo,Wed 2:10 pm,Clear. Hot.,91 °F
Calgary,Wed 5:10 am,Light rain. Mostly cloudy. Cool.,50 °F
Canberra,Wed 9:10 pm,Partly cloudy. Cool.,55 °F
Cape Town,Wed 1:10 pm,Scattered clouds. Cool.,57 °F
Caracas,Wed 7:10 am,Passing clouds. Mild.,75 °F
Casablanca,Wed 12:10 pm,Scattered clouds. Mild.,72 °F
Chicago,Wed 6:10 am,Passing clouds. Mild.,74 °F
Copenhagen,Wed 1:10 pm,Passing clouds. Mild.,63 °F
Dallas,Wed 6:10 am,Passing clouds. Warm.,79 °F
Dar es Salaam,Wed 2:10 pm,Light rain. Partly sunny. Warm.,81 °F
Darwin,Wed 8:40 pm,Clear. Warm.,81 °F
Denver,Wed 5:10 am,Clear. Refreshingly cool.,57 °F
Detroit,Wed 7:10 am,Low clouds. Mild.,73 °F
Dhaka,Wed 5:10 pm,Low clouds. Warm.,80 °F
Doha,Wed 2:10 pm,Passing clouds. Extremely hot.,115 °F
Dubai,Wed 3:10 pm,Passing clouds. Extremely hot.,104 °F
Dublin,Wed 12:10 pm,Sprinkles. Partly sunny. Cool.,55 °F
