city_id,weather_condition,temperature
1,Passing clouds. Warm.,84 °F
2,Scattered clouds. Pleasantly warm.,79 °F
3,Quite cool.,52 °F
4,Overcast. Mild.,75 °F
5,Scattered clouds. Pleasantly warm.,88 °F
6,Clear. Pleasantly warm.,84 °F
7,Passing clouds. Mild.,63 °F
8,Fog. Chilly.,35 °F
9,Passing clouds. Cool.,54 °F
10,Broken clouds. Mild.,68 °F
11,Passing clouds. Pleasantly warm.,77 °F
12,Rain. Low clouds. Mild.,63 °F
13,Sunny. Pleasantly warm.,83 °F
14,Fog. Mild.,70 °F
15,Clear. Cool.,46 °F
16,Sunny. Extremely hot.,111 °F
17,Light rain. Scattered clouds. Warm.,82 °F
18,Broken clouds. Mild.,70 °F
19,Warm.,77 °F
20,Sunny. Warm.,82 °F
21,Scattered clouds. Warm.,84 °F
22,Rain showers. Broken clouds. Cool.,57 °F
23,Fog. Cool.,50 °F
24,Partly sunny. Mild.,63 °F
25,Sunny. Mild.,63 °F
26,Cool.,62 °F
27,Passing clouds. Refreshingly cool.,61 °F
28,Partly sunny. Warm.,82 °F
29,Passing clouds. Warm.,79 °F
30,Partly cloudy. Cool.,55 °F
31,Clear. Hot.,91 °F
32,Light rain. Mostly cloudy. Cool.,50 °F
33,Partly cloudy. Cool.,55 °F
34,Scattered clouds. Cool.,57 °F
35,Passing clouds. Mild.,75 °F
36,Scattered clouds. Mild.,72 °F
37,Passing clouds. Mild.,74 °F
38,Passing clouds. Mild.,63 °F
39,Passing clouds. Warm.,79 °F
40,Light rain. Partly sunny. Warm.,81 °F
41,Clear. Warm.,81 °F
42,Clear. Refreshingly cool.,57 °F
43,Low clouds. Mild.,73 °F
44,Low clouds. Warm.,80 °F
45,Passing clouds. Extremely hot.,115 °F
46,Passing clouds. Extremely hot.,104 °F
47,Sprinkles. Partly sunny. Cool.,55 °F
