city,city_time,weather_condition,temperature,day_of_week,local_time
Accra,Sun 8:10 pm,Passing clouds. Warm.,81,Sun,8:10 pm
Addis Ababa,Sun 11:10 pm,Passing clouds. Mild.,68,Sun,11:10 pm
Adelaide,Mon 5:40 am,Quite cool.,55,Mon,5:40 am
Algiers,Sun 9:10 pm,Overcast. Mild.,75,Sun,9:10 pm
Almaty,Mon 1:10 am,Passing clouds. Mild.,63,Mon,1:10 am
Amman,Sun 11:10 pm,Clear. Mild.,70,Sun,11:10 pm
Amsterdam,Sun 10:10 pm,Partly sunny. Mild.,63,Sun,10:10 pm
Anadyr,Mon 8:10 am,Passing clouds. Cool.,53,Mon,8:10 am
Anchorage,Sun 12:10 pm,Sunny. Refreshingly cool.,58,Sun,12:10 pm
Ankara,Sun 11:10 pm,Clear. Mild.,68,Sun,11:10 pm
Antananarivo,Sun 11:10 pm,Passing clouds. Cool.,59,Sun,11:10 pm
Asuncion,Sun 5:10 pm,Sunny. Warm.,81,Sun,5:10 pm
Athens,Sun 11:10 pm,Warm.,78,Sun,11:10 pm
Atlanta,Sun 4:10 pm,Light rain. Overcast. Warm.,80,Sun,4:10 pm
Auckland,Mon 8:10 am,Partly sunny. Cool.,57,Mon,8:10 am
Baghdad,Sun 11:10 pm,Sunny. Extremely hot.,101,Sun,11:10 pm
Bangkok,Mon 3:10 am,Passing clouds. Warm.,82,Mon,3:10 am
Barcelona,Sun 10:10 pm,Clear. Mild.,70,Sun,10:10 pm
Beijing,Mon 4:10 am,Cool.,56,Mon,4:10 am
Beirut,Sun 11:10 pm,Clear. Mild.,74,Sun,11:10 pm
Belgrade,Sun 10:10 pm,Clear. Mild.,68,Sun,10:10 pm
Bengaluru,Mon 1:40 am,Partly cloudy. Mild.,73,Mon,1:40 am
Berlin,Sun 10:10 pm,Clear. Mild.,64,Sun,10:10 pm
Bogota,Sun 3:10 pm,Scattered showers. Broken clouds. Cool.,57,Sun,3:10 pm
Boston,Sun 4:10 pm,Cloudy. Warm.,79,Sun,4:10 pm
Brasilia,Sun 5:10 pm,Passing clouds. Pleasantly warm.,77,Sun,5:10 pm
Brisbane,Mon 6:10 am,Cool.,59,Mon,6:10 am
Brussels,Sun 10:10 pm,Scattered clouds. Cool.,57,Sun,10:10 pm
Bucharest,Sun 11:10 pm,Clear. Mild.,68,Sun,11:10 pm
Budapest,Sun 10:10 pm,Clear. Mild.,73,Sun,10:10 pm
Buenos Aires,Sun 5:10 pm,Fog. Cool.,57,Sun,5:10 pm
Cairo,Sun 11:10 pm,Clear. Warm.,81,Sun,11:10 pm
Calgary,Sun 2:10 pm,Sprinkles. Overcast. Quite cool.,43,Sun,2:10 pm
Canberra,Mon 6:10 am,Clear. Chilly.,28,Mon,6:10 am
Cape Town,Sun 10:10 pm,Clear. Cool.,59,Sun,10:10 pm
Caracas,Sun 4:10 pm,Partly sunny. Warm.,82,Sun,4:10 pm
Casablanca,Sun 9:10 pm,Passing clouds. Mild.,70,Sun,9:10 pm
Chicago,Sun 3:10 pm,Broken clouds. Warm.,80,Sun,3:10 pm
Copenhagen,Sun 10:10 pm,Mostly cloudy. Mild.,63,Sun,10:10 pm
Dallas,Sun 3:10 pm,Scattered clouds. Warm.,81,Sun,3:10 pm
Dar es Salaam,Sun 11:10 pm,Passing clouds. Mild.,75,Sun,11:10 pm
Darwin,Mon 5:40 am,Clear. Mild.,66,Mon,5:40 am
Denver,Sun 2:10 pm,Passing clouds. Hot.,90,Sun,2:10 pm
Detroit,Sun 4:10 pm,Sunny. Warm.,79,Sun,4:10 pm
Dhaka,Mon 2:10 am,Passing clouds. Warm.,82,Mon,2:10 am
Doha,Sun 11:10 pm,Clear. Hot.,90,Sun,11:10 pm
Dubai,Mon 12:10 am,Clear. Extremely hot.,93,Mon,12:10 am
