city,city_time,weather_condition,temperature
Accra,Sun 8:10 pm,Passing clouds. Warm.,81 °F
Addis Ababa,Sun 11:10 pm,Passing clouds. Mild.,68 °F
Adelaide,Mon 5:40 am,Quite cool.,55 °F
Algiers,Sun 9:10 pm,Overcast. Mild.,75 °F
Almaty,Mon 1:10 am,Passing clouds. Mild.,63 °F
Amman,Sun 11:10 pm,Clear. Mild.,70 °F
Amsterdam,Sun 10:10 pm,Partly sunny. Mild.,63 °F
Anadyr,Mon 8:10 am,Passing clouds. Cool.,53 °F
Anchorage,Sun 12:10 pm,Sunny. Refreshingly cool.,58 °F
Ankara,Sun 11:10 pm,Clear. Mild.,68 °F
Antananarivo,Sun 11:10 pm,Passing clouds. Cool.,59 °F
Asuncion,Sun 5:10 pm,Sunny. Warm.,81 °F
Athens,Sun 11:10 pm,Warm.,78 °F
Atlanta,Sun 4:10 pm,Light rain. Overcast. Warm.,80 °F
Auckland,Mon 8:10 am,Partly sunny. Cool.,57 °F
Baghdad,Sun 11:10 pm,Sunny. Extremely hot.,101 °F
Bangkok,Mon 3:10 am,Passing clouds. Warm.,82 °F
Barcelona,Sun 10:10 pm,Clear. Mild.,70 °F
Beijing,Mon 4:10 am,Cool.,56 °F
Beirut,Sun 11:10 pm,Clear. Mild.,74 °F
Belgrade,Sun 10:10 pm,Clear. Mild.,68 °F
Bengaluru,Mon 1:40 am,Partly cloudy. Mild.,73 °F
Berlin,Sun 10:10 pm,Clear. Mild.,64 °F
Bogota,Sun 3:10 pm,Scattered showers. Broken clouds. Cool.,57 °F
Boston,Sun 4:10 pm,Cloudy. Warm.,79 °F
Brasilia,Sun 5:10 pm,Passing clouds. Pleasantly warm.,77 °F
Brisbane,Mon 6:10 am,Cool.,59 °F
Brussels,Sun 10:10 pm,Scattered clouds. Cool.,57 °F
Bucharest,Sun 11:10 pm,Clear. Mild.,68 °F
Budapest,Sun 10:10 pm,Clear. Mild.,73 °F
Buenos Aires,Sun 5:10 pm,Fog. Cool.,57 °F
Cairo,Sun 11:10 pm,Clear. Warm.,81 °F
Calgary,Sun 2:10 pm,Sprinkles. Overcast. Quite cool.,43 °F
Canberra,Mon 6:10 am,Clear. Chilly.,28 °F
Cape Town,Sun 10:10 pm,Clear. Cool.,59 °F
Caracas,Sun 4:10 pm,Partly sunny. Warm.,82 °F
Casablanca,Sun 9:10 pm,Passing clouds. Mild.,70 °F
Chicago,Sun 3:10 pm,Broken clouds. Warm.,80 °F
Copenhagen,Sun 10:10 pm,Mostly cloudy. Mild.,63 °F
Dallas,Sun 3:10 pm,Scattered clouds. Warm.,81 °F
Dar es Salaam,Sun 11:10 pm,Passing clouds. Mild.,75 °F
Darwin,Mon 5:40 am,Clear. Mild.,66 °F
Denver,Sun 2:10 pm,Passing clouds. Hot.,90 °F
Detroit,Sun 4:10 pm,Sunny. Warm.,79 °F
Dhaka,Mon 2:10 am,Passing clouds. Warm.,82 °F
Doha,Sun 11:10 pm,Clear. Hot.,90 °F
Dubai,Mon 12:10 am,Clear. Extremely hot.,93 °F
